step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
845,74,11951,140.6,1.620778735,74,18771,0.089589001,74,18771
850,74,12321,144.9529412,1.386796503,74,19141,0.051274752,74,19141
855,70,12335,140.1704545,1.995145525,70,19369,0.094742249,70,19369
860,64,12475,141.7613636,2.245891516,64,19442,0.082340933,64,19442
865,66,12804,142.2666667,2.798926476,66,19639,0.100506795,66,19639
870,66,13097,143.9230769,2.21309833,66,19952,0.078940199,66,19952
875,68,13429,157.9882353,2.052053046,68,20267,0.062506497,68,20267
880,70,13774,156.5227273,2.739806218,70,20609,0.073045945,70,20609
885,70,14124,170.1686747,2.028880266,70,20959,0.069196725,70,20959
890,68,14373,171.1071429,1.365123991,68,21251,0.076526949,68,21251
895,68,14711,179.402439,1.977325203,68,21533,0.089282008,68,21533
900,69,15052,175.0232558,1.999186541,69,21872,0.044133208,69,21872
905,66,15333,180.3882353,1.922208549,66,22189,0.06853795,66,22189
910,64,15647,186.2738095,2.314652783,64,22473,0.100223527,64,22473
915,65,15968,190.0952381,2.50153556,65,22788,0.082156577,65,22788
920,66,16298,194.0238095,2.578949144,66,23118,0.096893128,66,23118
925,67,16629,202.7926829,2.251506651,67,23449,0.082177474,67,23449
930,68,16967,209.4691358,1.971782228,68,23787,0.082476918,68,23787
935,68,17307,219.0759494,1.43551729,68,24127,0.051638687,68,24127
940,65,17568,209.1428571,1.788852379,65,24419,0.106757816,65,24419
945,70,17908,215.7590361,1.811325128,70,24728,0.071566036,70,24728
950,71,18259,207.4886364,2.011741334,71,25079,0.073077805,71,25079
955,68,18558,215.7906977,2.013625499,68,25408,0.079090623,68,25408
960,66,18883,224.797619,1.987913105,66,25708,0.087462801,66,25708
965,68,19218,223.4651163,2.700881032,68,26038,0.075867967,68,26038
970,68,19558,227.4186047,2.666055621,68,26378,0.075275394,68,26378
975,67,19875,242.3780488,1.980391693,67,26696,0.081346519,67,26696
980,68,20211,246.4756098,1.786095619,68,27031,0.078272791,68,27031
985,71,20559,247.6987952,1.929606841,71,27379,0.073578927,71,27379
990,66,20863,251.3614458,1.602799781,66,27704,0.086776579,66,27704
995,66,21193,255.3373494,2.22558201,66,28013,0.085128328,66,28013
1000,67,21524,247.4022989,3.002229763,67,28344,0.097877312,67,28344
1005,63,20670,252.0731707,2.367751248,63,27410,0.082127933,63,27410
1010,54,19196,231.2771084,2.606384074,54,25339,0.120325662,54,25339
1015,54,17914,215.8313253,3.203939098,54,22701,0.126129281,54,22701
1020,40,16192,199.9012346,3.310838405,40,22327,0.160432007,40,22327
